xpath,frequency,uniques
/dictionary/body/p/cs/mcol/cd/pos/,2,2
/dictionary/body/p/illust/,2,2
/dictionary/body/p/def/booki/,4,4
/dictionary/body/p/fr/,311,1
/dictionary/body/p/def2/specif/,1,1
/dictionary/body/p/pos/altsp/,1,1
/dictionary/body/p/def/q/,3,3
/dictionary/body/p/it/,21,17
/dictionary/body/p/note/pre/tt/sc/,6,3
/dictionary/body/p/def/altname/gen/,8,8
/dictionary/body/p/cs/mcol/sd/,9,4
/dictionary/body/p/note/a/@HREF,3,3
/dictionary/body/p/note/chform/,70,60
/dictionary/body/p/mhw/hw/,18672,9876
/dictionary/body/p/def/as/persfn/,20,16
/dictionary/body/p/note/table/row/,14,14
/dictionary/body/p/def/markp/,4,1
/dictionary/body/p/def/mathex/root/,1,1
/dictionary/body/p/def/a/@href,4,4
/dictionary/body/p/cs/mcol/au/,3,3
/dictionary/body/p/note/subtypes/mcol/,1,1
/dictionary/body/p/note/subtypes/col/,6,5
/dictionary/body/p/def2/ety/,1,1
/dictionary/body/p/cs/cd/table/pre/row/,6,6
/dictionary/body/p/def/stageof/,1,1
/dictionary/body/p/def/sig/,682,425
/dictionary/body/p/cs/plu/,17,4
/dictionary/body/p/note/gothictype/,2,2
/dictionary/body/p/cs/table/,1,1
/dictionary/body/p/syn/class/,56,34
/dictionary/body/p/cs/cd/cref/i/,2,2
/dictionary/body/p/note/booki/,15,13
/dictionary/body/p/def/partof/,123,114
/dictionary/body/p/bio/br/,5,5
/dictionary/body/p/cs/cd/as/xex/,14,14
/dictionary/front/div0/au.entry/au/i/,2,2
/dictionary/body/p/def/altname/class/,4,4
/dictionary/body/p/note/nonpareiltype/ex/,2,2
/dictionary/body/p/specif/,863,95
/dictionary/body/p/def2/def/country/,2,2
/dictionary/body/p/cs/cd/altname/col/b/,1,1
/dictionary/body/p/mark/plain/,8,6
/dictionary/body/p/usage/xex/,8037,5923
/dictionary/body/p/def/as/xex/,204,155
/dictionary/body/p/mcol/xex/,4,3
/dictionary/body/p/note/bourgeoistype/,2,2
/dictionary/body/p/def/persfn/xex/,2,2
/dictionary/body/p/def/membof/,80,75
/dictionary/body/p/table/point3.5/,1,1
/dictionary/body/p/cs/mcol/cd/mathex/exp/,2,2
/dictionary/body/p/bio/org/,2,2
/dictionary/body/p/def/org/,41,38
/dictionary/body/p/def/subs/frac/,1,1
/dictionary/body/p/def/sfield/,6,6
/dictionary/body/p/note/consof/,2,2
/dictionary/body/p/ety/person/etsep/,178,167
/dictionary/body/p/note/mathex/subs/,2,2
/dictionary/body/p/cs/mcol/col/b/xex/,2,2
/dictionary/body/p/cs/note/source/,4,2
/dictionary/body/p/singf/,8,2
/dictionary/body/p/def/as/ecol/b/,2,2
/dictionary/body/p/def/varn/,40,34
/dictionary/body/p/q/au/,8,8
/dictionary/body/p/def/rj/qau/,2,2
/dictionary/body/p/note/cd/altname/,2,2
/dictionary/body/p/cs/cd/as/fract/it/,3,3
/dictionary/body/p/cs/cd/subclass/,2,2
/dictionary/body/p/note/table/pre/row/,3,3
/dictionary/body/p/ety/fu/,10,9
/dictionary/body/p/ety/er/,60456,21272
/dictionary/body/p/def/prodby/gen/,4,4
/dictionary/body/p/def/pos/,2900,138
/dictionary/body/p/cs/cd/mathex/root/,2,2
/dictionary/body/p/cs/cd/pos/,918,13
/dictionary/body/p/cs/cd/fexp/,20,15
/dictionary/body/p/table/point3/,1,1
/dictionary/body/p/def/subtypes/,2,2
/dictionary/body/p/cs/mcol/ety/,5,5
/dictionary/body/p/cs/col/b/it/,6,4
/dictionary/body/p/vmorph/i/,10,1
/dictionary/body/p/cs/plu/it/,8,1
/dictionary/body/p/def/mathex/sub/,2,2
/dictionary/body/p/cs/see/,8,3
/dictionary/body/p/def/exp/,38,33
/dictionary/body/p/cs/q/,306,229
/dictionary/body/p/cs/note/table/title/,2,2
/dictionary/body/p/wordforms/def/,6,5
/dictionary/body/p/note/mathex/,29,27
/dictionary/body/p/def/stype/ecol/b/,1,1
/dictionary/body/p/note/table/row/scripttype/,1,1
/dictionary/body/p/note/table/row/oldstyletype/,1,1
/dictionary/body/p/bold/,3,3
/dictionary/body/p/note/er/,1429,1032
/dictionary/body/p/q/qex/,77355,55215
/dictionary/body/p/def/fam/,1558,1121
/dictionary/body/p/note/parts/,10,10
/dictionary/body/p/def/altname/col/b/,8,8
/dictionary/body/p/def/as/,43389,37252
/dictionary/body/p/cs/cd/note/,4,4
/dictionary/body/p/b/,2,2
/dictionary/body/p/note/chform/sups/,11,7
/dictionary/body/p/note/au/,317,255
/dictionary/body/p/def/isa/phylum/,1,1
/dictionary/body/p/ety/cref/,2,2
/dictionary/body/p/altsp/ex/,2,2
/dictionary/body/p/usage/sn/,9,7
/dictionary/body/note/pre/b/,16,16
/dictionary/body/p/def/examp/,121,84
/dictionary/body/p/ant/,152,106
/dictionary/body/p/illu/,206,191
/dictionary/body/p/def/col/b/,139,136
/dictionary/body/p/illust/xex/,16,16
/dictionary/body/p/q/altname/,2,2
/dictionary/body/p/cs/wordforms/col/b/,2,2
/dictionary/body/p/ety/ets/grk/,9,9
